id,currency_id,total_price,created_at,location_id,actor_id,cancelled_at,cancel_reason,group_id,category_id,subcategory_id
7,1,0.44,"2022-10-08 20:57:42+00:00",2,91,"","",27,3,7
8,2,0.07,"2022-10-15 03:21:22+00:00",5,91,"","",12,3,15
9,4,0.15,"2022-02-14 06:43:46+00:00",4,91,"","",48,1,3
10,4,0.65,"2022-05-22 19:14:52+00:00",5,91,"","",15,1,1
11,2,0.54,"2022-05-25 15:45:38+00:00",4,91,"","",15,1,11
1,3,0.9,"2022-01-15 09:47:24+00:00",4,73,"","",8,2,1
2,1,0.58,"2022-01-10 20:33:47+00:00",5,73,"","",22,2,6
3,1,0.19,"2022-04-29 19:00:49+00:00",1,73,"","",19,1,5
4,4,0.5,"2022-05-06 01:15:39+00:00",5,73,"","",7,1,10
5,4,0.69,"2022-01-15 13:18:39+00:00",5,73,"","",34,3,9
6,3,0.56,"2022-06-30 02:28:46+00:00",3,73,"","",6,3,9
7,3,0.44,"2022-07-23 00:36:20+00:00",4,73,"","",20,1,15
8,1,0.76,"2022-06-21 01:13:42+00:00",5,73,"","",41,2,6
9,2,0.84,"2022-06-21 01:01:00+00:00",4,73,"","",3,1,8
10,1,0.34,"2022-04-28 20:06:27+00:00",2,73,"","",1,2,2
11,2,0.92,"2022-09-27 09:24:09+00:00",3,73,"","",50,2,1
12,3,0.36,"2022-04-19 03:16:24+00:00",5,73,"","",41,3,8
13,4,0.02,"2022-06-18 15:04:45+00:00",1,73,"","",5,3,3
14,1,0.53,"2022-01-05 09:46:02+00:00",1,73,"","",17,2,7
15,4,0.34,"2022-10-03 19:30:27+00:00",4,73,"","",42,1,8
16,2,0.62,"2022-07-12 21:01:13+00:00",1,73,"","",4,1,12
17,3,0.58,"2022-03-23 06:35:32+00:00",1,73,"","",7,2,2
1,2,0.44,"2022-02-06 00:18:08+00:00",2,72,"","",21,3,13
2,1,0.72,"2022-07-16 15:01:34+00:00",2,72,"","",46,2,7
3,1,0.47,"2022-01-11 03:34:18+00:00",3,72,"","",2,2,11
4,2,0.9,"2022-04-30 07:26:37+00:00",4,72,"","",47,3,5
5,3,0.77,"2022-05-24 07:35:43+00:00",5,72,"","",24,3,10
6,2,0.68,"2022-06-23 07:56:10+00:00",5,72,"","",44,3,10
7,2,0.37,"2022-08-26 11:30:42+00:00",3,72,"","",45,2,13
8,2,0.92,"2022-01-07 01:31:14+00:00",4,72,"","",29,3,14
9,1,0.61,"2022-04-27 07:09:52+00:00",1,72,"","",10,1,15
10,4,0.83,"2022-08-24 04:03:53+00:00",1,72,"","",16,2,4
11,1,0.23,"2022-06-28 05:53:55+00:00",5,72,"","",9,1,11
12,2,0.49,"2022-10-21 01:43:06+00:00",3,72,"","",48,3,7
13,4,0.2,"2022-07-17 18:51:53+00:00",4,72,"","",17,1,5
14,1,0.34,"2022-06-05 19:41:39+00:00",3,72,"","",22,3,4
15,3,0.76,"2022-02-06 16:13:48+00:00",4,72,"","",29,3,6
16,2,0.97,"2022-08-08 23:40:21+00:00",5,72,"","",10,1,4
17,4,0.73,"2022-03-13 02:00:23+00:00",1,72,"","",38,3,7
18,2,0.74,"2022-01-03 19:24:39+00:00",4,72,"","",34,1,13
19,3,0.38,"2022-06-25 17:20:28+00:00",3,72,"","",43,3,5
20,2,0.79,"2022-10-15 05:41:21+00:00",3,72,"","",20,2,15
21,2,0.03,"2022-01-02 01:33:42+00:00",2,72,"","",7,1,14
22,4,0.13,"2022-01-23 18:59:12+00:00",2,72,"","",11,1,15
23,4,0.39,"2022-07-21 17:36:45+00:00",5,72,"","",44,1,11
24,2,0.02,"2022-04-24 13:50:51+00:00",1,72,"","",8,2,15
25,4,0.63,"2022-09-23 21:43:57+00:00",5,72,"","",39,2,6
26,4,0.2,"2022-09-13 13:58:41+00:00",5,72,"","",42,3,11
27,2,0.46,"2022-02-12 01:38:25+00:00",2,72,"2022-02-18 01:38:25+00:00","Board new.",31,3,13
28,3,0.64,"2022-01-05 06:40:31+00:00",5,72,"","",25,2,8
29,4,0.37,"2022-10-25 09:37:57+00:00",5,72,"","",24,2,9
30,2,0.38,"2022-01-22 14:26:25+00:00",1,72,"","",21,1,15
31,1,0.17,"2022-07-31 01:56:49+00:00",3,72,"","",13,3,6
32,4,0.53,"2022-01-18 10:59:03+00:00",1,72,"","",10,2,3
33,4,0.55,"2022-06-18 05:51:13+00:00",2,72,"","",13,1,5
34,2,0.17,"2022-07-05 21:09:13+00:00",1,72,"","",5,2,8
35,2,0.45,"2022-05-15 12:26:53+00:00",2,72,"","",14,2,3
36,4,0.27,"2022-03-17 20:37:34+00:00",4,72,"","",32,1,14
37,2,0.99,"2022-04-17 22:59:08+00:00",2,72,"","",24,1,11
1,4,0.9,"2022-05-22 07:46:51+00:00",1,90,"","",37,3,13
2,3,0.24,"2022-08-04 13:25:49+00:00",4,90,"","",25,2,10
3,4,0.34,"2022-04-23 06:38:24+00:00",4,90,"","",26,2,15
4,3,0.16,"2022-09-07 22:52:04+00:00",4,90,"","",16,1,2
5,3,0.32,"2022-06-06 08:18:28+00:00",3,90,"","",40,3,9
6,3,0.72,"2022-07-16 06:39:25+00:00",3,90,"","",17,2,7
7,4,0.23,"2022-06-23 12:41:17+00:00",1,90,"","",23,1,3
8,4,0.91,"2022-09-21 17:10:27+00:00",3,90,"","",24,1,13
9,2,0.12,"2022-05-06 20:07:43+00:00",5,90,"","",8,2,5
10,4,0.6,"2022-03-06 22:36:39+00:00",3,90,"","",20,1,8
11,3,0.74,"2022-01-25 14:32:12+00:00",4,90,"","",35,3,11
12,3,0.39,"2022-07-23 01:24:15+00:00",2,90,"","",42,1,3
13,1,0.12,"2022-06-11 01:45:09+00:00",3,90,"","",25,2,5
14,3,0.91,"2022-04-28 20:54:42+00:00",2,90,"","",39,2,1
15,3,0.03,"2022-08-26 15:29:29+00:00",4,90,"","",41,3,15
16,3,0.07,"2022-03-07 03:40:41+00:00",2,90,"","",36,3,7
17,1,0.85,"2022-01-02 09:47:55+00:00",5,90,"","",50,2,10
18,2,0.14,"2022-03-26 04:20:09+00:00",2,90,"","",21,3,7
19,1,0.51,"2022-07-03 00:56:44+00:00",5,90,"","",15,2,15
20,3,0.58,"2022-03-12 10:57:53+00:00",5,90,"","",20,3,4
21,3,0.22,"2022-03-02 05:11:26+00:00",1,90,"","",17,2,13
22,2,0.34,"2022-01-01 00:18:45+00:00",1,90,"","",29,1,10
23,3,0.26,"2022-01-10 12:50:59+00:00",2,90,"","",45,2,1
24,1,0.22,"2022-10-24 16:31:26+00:00",3,90,"","",38,3,5
25,1,0.12,"2022-08-11 11:13:44+00:00",3,90,"","",47,1,4
26,2,0.83,"2022-07-28 16:45:13+00:00",1,90,"","",8,3,6
27,3,0.22,"2022-08-22 08:37:34+00:00",3,90,"2022-10-04 08:37:34+00:00","Contain.",21,2,12
28,2,0.93,"2022-05-10 17:33:40+00:00",1,90,"","",12,1,4
29,1,0.8,"2022-04-09 01:32:41+00:00",2,90,"","",28,2,10
30,4,0.61,"2022-06-21 16:42:27+00:00",1,90,"","",17,3,11
31,4,0.49,"2022-02-12 02:34:13+00:00",2,90,"","",38,3,11
32,1,0.99,"2022-01-07 16:35:11+00:00",3,90,"","",29,2,6
33,2,0.71,"2022-06-29 17:12:06+00:00",5,90,"","",45,3,10
34,4,0.61,"2022-07-08 05:30:04+00:00",2,90,"","",38,3,5
35,4,0.22,"2022-09-27 08:04:29+00:00",5,90,"","",3,2,15
36,1,0.1,"2022-10-06 08:03:58+00:00",3,90,"","",41,1,11
37,1,0.64,"2022-05-26 23:34:02+00:00",4,90,"","",47,1,1
38,3,0.41,"2022-09-05 07:16:29+00:00",2,90,"","",24,2,14
39,4,0.64,"2022-02-20 02:30:35+00:00",2,90,"","",35,2,13
40,3,0.38,"2022-01-28 01:40:57+00:00",3,90,"","",3,1,14
41,2,0.81,"2022-08-11 23:25:46+00:00",5,90,"","",36,3,7
42,2,0.39,"2022-02-02 20:51:45+00:00",3,90,"","",22,3,3
43,4,0.69,"2022-03-12 21:30:27+00:00",3,90,"","",43,3,15
1,4,0.5,"2022-01-12 22:37:49+00:00",2,67,"","",10,3,4
2,4,0.24,"2022-02-13 18:48:05+00:00",3,67,"","",34,2,9
3,2,0.56,"2022-10-21 03:14:56+00:00",5,67,"","",6,2,13
4,4,0.08,"2022-07-14 12:25:18+00:00",4,67,"","",44,2,15
5,1,0.17,"2022-04-12 18:56:56+00:00",3,67,"","",42,1,8
6,1,0.48,"2022-03-24 11:44:30+00:00",2,67,"","",18,3,8
7,3,0.37,"2022-08-04 14:50:18+00:00",1,67,"","",35,3,11
8,4,0.45,"2022-09-08 18:50:37+00:00",4,67,"","",27,3,4
9,1,0.16,"2022-03-30 08:53:55+00:00",5,67,"","",49,1,8
10,1,0.63,"2022-01-06 12:32:19+00:00",2,67,"","",19,3,15
11,2,0.36,"2022-03-16 05:43:25+00:00",1,67,"","",32,1,9
12,2,0.43,"2022-07-29 06:12:00+00:00",1,67,"","",13,2,1
13,1,0.03,"2022-04-09 01:45:25+00:00",4,67,"","",46,3,2
14,2,0.72,"2022-05-01 16:50:58+00:00",1,67,"","",6,3,8
15,3,0.41,"2022-05-07 08:14:22+00:00",2,67,"","",15,1,3
16,3,0.03,"2022-03-26 23:07:07+00:00",3,67,"","",8,3,13
17,4,0.52,"2022-09-13 02:08:45+00:00",5,67,"","",11,1,12
18,2,0.06,"2022-08-20 08:04:34+00:00",4,67,"","",13,1,1
19,4,0.42,"2022-04-26 18:05:01+00:00",5,67,"","",27,3,15
20,3,0.11,"2022-04-25 17:53:35+00:00",1,67,"","",29,3,9
21,2,0.19,"2022-07-12 22:08:45+00:00",4,67,"","",22,2,4
22,1,0.22,"2022-09-01 18:42:34+00:00",5,67,"","",41,1,2
23,4,0.04,"2022-10-29 02:36:57+00:00",5,67,"","",12,1,13
24,2,0.65,"2022-02-06 23:31:50+00:00",4,67,"","",20,2,9
25,2,0.21,"2022-10-22 17:05:51+00:00",4,67,"","",42,3,8
26,4,0.67,"2022-01-26 09:02:53+00:00",5,67,"","",36,2,4
27,1,0.2,"2022-07-02 08:59:33+00:00",2,67,"2022-08-28 08:59:33+00:00","Capital.",35,2,8
28,4,0.37,"2022-07-25 03:05:52+00:00",1,67,"","",35,3,11
29,1,0.18,"2022-07-05 05:59:50+00:00",5,67,"","",34,1,12
1,3,0.01,"2022-02-13 23:48:24+00:00",2,48,"","",20,3,6
2,3,0.54,"2022-04-18 16:10:04+00:00",3,48,"","",12,1,6
3,4,0.75,"2022-07-02 09:59:42+00:00",4,48,"","",41,1,4
4,4,0.32,"2022-09-19 10:25:45+00:00",4,48,"","",43,3,15
5,2,0.51,"2022-07-17 07:25:26+00:00",5,48,"","",1,2,9
6,1,0.45,"2022-04-20 13:19:35+00:00",1,48,"","",11,2,4
7,3,0.54,"2022-05-21 10:20:01+00:00",1,48,"","",35,3,1
8,1,0.06,"2022-02-06 03:42:24+00:00",5,48,"","",39,3,11
9,3,0.23,"2022-07-06 20:07:30+00:00",1,48,"","",39,1,15
10,2,0.82,"2022-06-26 14:37:39+00:00",2,48,"","",23,2,5
11,1,0.82,"2022-04-05 14:36:37+00:00",2,48,"","",43,3,14
12,1,0.66,"2022-11-01 06:56:20+00:00",3,48,"","",27,2,8
13,4,0.71,"2022-09-14 05:27:06+00:00",2,48,"","",49,3,8
14,1,0.9,"2022-05-16 03:39:32+00:00",4,48,"","",5,1,13
15,3,0.62,"2022-09-01 16:38:16+00:00",3,48,"","",38,3,7
16,3,0.25,"2022-08-30 16:53:55+00:00",1,48,"","",26,1,1
17,2,0.34,"2022-05-14 03:27:01+00:00",3,48,"","",6,1,1
18,4,0.66,"2022-03-24 19:22:03+00:00",4,48,"","",50,2,10
19,1,0.84,"2022-05-12 10:26:46+00:00",3,48,"","",29,1,5
20,4,0.89,"2022-01-16 22:55:52+00:00",3,48,"","",19,1,14
21,1,0.8,"2022-04-07 20:24:43+00:00",3,48,"","",46,3,15
22,2,0.39,"2022-03-03 08:53:37+00:00",4,48,"","",24,2,10
23,4,0.48,"2022-04-21 08:57:34+00:00",2,48,"","",12,3,10
24,3,0.65,"2022-10-10 16:40:04+00:00",4,48,"","",34,3,11
25,2,0.28,"2022-05-02 02:45:27+00:00",5,48,"","",18,2,4
1,1,0.3,"2022-03-20 09:31:04+00:00",5,65,"","",47,1,12
2,4,0.61,"2022-08-24 19:16:10+00:00",1,65,"","",5,2,2
3,1,0.17,"2022-10-07 12:12:23+00:00",3,65,"","",24,1,7
4,3,0.43,"2022-04-07 18:02:16+00:00",3,65,"","",5,1,8
5,2,0.87,"2022-05-17 06:48:09+00:00",3,65,"","",10,3,7
6,3,0.89,"2022-02-03 15:29:22+00:00",5,65,"","",2,1,12
7,2,0.8,"2022-10-01 00:21:21+00:00",1,65,"","",8,2,6
8,3,0.29,"2022-06-09 02:56:44+00:00",3,65,"","",12,3,4
9,4,0.61,"2022-11-03 11:19:16+00:00",3,65,"","",25,1,15
10,3,0.95,"2022-07-06 04:32:35+00:00",3,65,"","",19,3,6
11,1,0.85,"2022-01-31 06:25:56+00:00",3,65,"","",27,3,14
12,3,0.25,"2022-07-15 13:30:37+00:00",3,65,"","",10,1,10
13,4,0.51,"2022-05-23 03:28:25+00:00",1,65,"","",23,2,13
14,2,0.56,"2022-09-14 21:40:03+00:00",3,65,"","",9,3,1
15,1,0.21,"2022-05-04 15:02:07+00:00",3,65,"","",38,2,5
16,4,0.25,"2022-10-09 07:55:59+00:00",1,65,"","",28,1,12
17,1,0.67,"2022-05-02 16:32:44+00:00",2,65,"","",48,1,5
18,3,0.28,"2022-06-03 18:57:00+00:00",4,65,"","",9,2,3
19,3,0.78,"2022-01-12 09:21:02+00:00",3,65,"","",18,1,10
20,4,0.46,"2022-02-03 09:52:26+00:00",2,65,"","",2,1,13
21,4,0.61,"2022-07-10 22:09:17+00:00",1,65,"","",2,2,4
22,4,0.72,"2022-08-23 15:12:02+00:00",1,65,"","",24,3,7
23,1,0.56,"2022-03-25 05:30:56+00:00",2,65,"","",8,1,11
24,2,0.34,"2022-06-13 11:53:21+00:00",3,65,"","",26,3,13
25,2,0.67,"2022-07-23 20:09:30+00:00",3,65,"","",10,1,15
26,4,0.17,"2022-09-19 23:47:16+00:00",3,65,"","",17,3,4
27,1,0.94,"2022-10-09 18:52:55+00:00",5,65,"2022-11-29 18:52:55+00:00","Yard rich.",39,2,7
28,3,0.39,"2022-02-21 21:53:06+00:00",4,65,"","",38,1,10
29,2,0.39,"2022-01-05 01:03:48+00:00",1,65,"","",27,3,11
30,4,0.54,"2022-03-05 00:22:26+00:00",5,65,"","",46,2,10
31,3,0.45,"2022-05-05 14:29:17+00:00",2,65,"","",23,2,4
32,3,0.28,"2022-08-26 02:37:28+00:00",1,65,"","",25,2,5
33,4,0.2,"2022-09-15 09:44:57+00:00",1,65,"","",47,3,5
34,1,0.37,"2022-04-16 19:27:40+00:00",2,65,"","",37,1,15
35,3,0.2,"2022-06-24 11:30:15+00:00",5,65,"","",48,1,2
36,2,0.71,"2022-07-22 23:34:14+00:00",2,65,"","",12,3,10
37,3,0.14,"2022-05-17 21:20:37+00:00",1,65,"","",32,3,8
38,1,0.71,"2022-08-31 01:17:01+00:00",2,65,"","",45,2,14
39,3,0.23,"2022-09-28 08:31:03+00:00",2,65,"","",12,1,8
1,1,0.98,"2022-09-26 23:12:16+00:00",1,80,"","",25,2,13
2,4,0.21,"2022-02-12 22:42:10+00:00",2,80,"","",13,3,1
3,2,0.47,"2022-03-19 10:43:58+00:00",3,80,"","",40,2,6
4,3,0.88,"2022-01-02 00:19:07+00:00",4,80,"","",43,3,12
5,1,0.87,"2022-10-07 23:25:52+00:00",3,80,"","",43,2,5
6,4,0.6,"2022-09-17 20:53:20+00:00",4,80,"","",41,1,7
7,1,0.85,"2022-06-23 15:04:39+00:00",4,80,"","",24,1,8
8,3,0.06,"2022-10-01 09:01:02+00:00",2,80,"","",26,1,3
9,2,0.02,"2022-07-08 08:23:06+00:00",3,80,"","",13,1,5
10,3,0.02,"2022-09-30 19:29:02+00:00",3,80,"","",35,1,10
11,4,0.11,"2022-09-22 11:01:40+00:00",3,80,"","",19,3,8
12,3,0.46,"2022-05-06 18:28:56+00:00",4,80,"","",38,2,12
13,4,0.08,"2022-02-13 11:17:11+00:00",1,80,"","",21,2,1
14,4,0.24,"2022-09-27 23:37:11+00:00",2,80,"","",10,3,12
15,1,0.46,"2022-09-30 21:58:12+00:00",2,80,"","",17,3,8
16,4,0.18,"2022-05-10 02:13:09+00:00",2,80,"","",35,2,3
17,4,0.65,"2022-09-07 04:56:20+00:00",3,80,"","",7,3,13
18,4,0.2,"2022-09-30 07:31:51+00:00",2,80,"","",23,2,12
19,2,0.02,"2022-02-05 00:16:16+00:00",3,80,"","",7,2,3
20,4,0.71,"2022-01-05 09:28:06+00:00",4,80,"","",46,2,2
21,4,0.03,"2022-02-23 21:56:12+00:00",2,80,"","",15,3,14
22,3,0.93,"2022-05-24 23:10:37+00:00",4,80,"","",29,2,12
23,1,0.66,"2022-09-12 02:44:33+00:00",4,80,"","",47,2,4
24,3,0.46,"2022-01-28 04:13:50+00:00",3,80,"","",7,2,12
25,3,0.63,"2022-02-08 22:07:42+00:00",3,80,"","",29,3,15
26,2,0.06,"2022-01-20 15:02:15+00:00",1,80,"","",48,3,7
27,2,0.66,"2022-05-21 13:11:27+00:00",2,80,"2022-06-07 13:11:27+00:00","Cost able.",17,1,7
28,3,0.07,"2022-07-16 14:17:16+00:00",1,80,"","",18,1,10
29,2,0.41,"2022-06-19 15:46:50+00:00",2,80,"","",17,1,12
30,1,0.98,"2022-08-14 10:56:08+00:00",4,80,"","",11,3,5
31,3,0.57,"2022-08-28 06:47:28+00:00",1,80,"","",9,3,11
1,2,0.42,"2022-04-28 18:17:06+00:00",5,22,"","",3,2,15
2,3,0.99,"2022-10-21 05:09:05+00:00",3,22,"","",46,1,11
3,4,0.2,"2022-08-13 22:43:45+00:00",3,22,"","",26,1,4
4,4,0.38,"2022-05-11 21:39:29+00:00",1,22,"","",3,3,1
5,1,0.39,"2022-10-20 01:47:35+00:00",4,22,"","",3,1,12
6,1,0.49,"2022-05-08 14:36:01+00:00",1,22,"","",31,2,8
7,2,0.84,"2022-06-07 05:41:50+00:00",2,22,"","",37,3,15
8,3,0.08,"2022-06-27 12:26:56+00:00",2,22,"","",18,2,12
9,3,0.94,"2022-09-05 05:49:50+00:00",3,22,"","",7,2,5
10,2,0.45,"2022-08-02 04:20:55+00:00",5,22,"","",35,1,2
11,4,0.86,"2022-10-14 07:45:24+00:00",4,22,"","",47,2,4
12,4,0.03,"2022-09-30 19:30:24+00:00",1,22,"","",13,3,14
13,2,0.97,"2022-05-03 05:46:50+00:00",2,22,"","",18,1,11
14,4,0.68,"2022-08-31 02:15:45+00:00",1,22,"","",27,1,10
15,3,0.29,"2022-02-01 09:57:13+00:00",1,22,"","",46,1,9
16,4,0.05,"2022-10-20 07:55:24+00:00",5,22,"","",23,3,7
17,3,0.42,"2022-10-21 02:55:05+00:00",2,22,"","",13,1,4
18,3,0.84,"2022-01-22 05:12:10+00:00",3,22,"","",11,3,9
19,4,0.59,"2022-05-20 13:33:17+00:00",3,22,"","",24,3,9
20,1,0.87,"2022-07-23 09:12:20+00:00",2,22,"","",27,2,1
21,4,0.18,"2022-03-24 05:39:39+00:00",3,22,"","",2,1,4
22,1,0.22,"2022-05-03 01:39:57+00:00",1,22,"","",36,1,13
23,3,0.33,"2022-03-16 14:42:10+00:00",1,22,"","",32,1,14
24,4,0.42,"2022-08-15 16:38:08+00:00",4,22,"","",27,3,11
25,2,0.91,"2022-03-20 03:49:48+00:00",5,22,"","",13,2,6
26,3,0.15,"2022-08-03 17:40:16+00:00",5,22,"","",35,3,7
27,4,0.84,"2022-08-11 04:38:25+00:00",2,22,"2022-08-29 04:38:25+00:00","Outside.",33,1,11
28,1,0.76,"2022-03-31 06:49:07+00:00",5,22,"","",20,3,2
29,3,0.63,"2022-10-21 03:08:26+00:00",1,22,"","",7,2,3
30,4,0.45,"2022-02-03 08:12:26+00:00",1,22,"","",40,3,13
31,3,0.6,"2022-01-01 19:50:06+00:00",3,22,"","",47,1,13
32,4,0.95,"2022-02-04 08:18:36+00:00",5,22,"","",27,3,10
1,3,0.24,"2022-09-25 01:04:22+00:00",3,38,"","",5,3,12
2,1,0.87,"2022-01-12 07:21:32+00:00",1,38,"","",5,2,4
3,2,0.95,"2022-04-05 22:22:08+00:00",5,38,"","",32,3,15
4,2,0.84,"2022-10-17 01:55:34+00:00",3,38,"","",33,2,5
5,1,0.94,"2022-03-10 23:14:31+00:00",5,38,"","",40,3,2
6,3,0.03,"2022-09-15 11:23:45+00:00",3,38,"","",40,1,2
7,2,0.79,"2022-02-09 20:28:25+00:00",3,38,"","",33,3,2
8,2,0.44,"2022-04-01 15:59:12+00:00",2,38,"","",2,3,4
9,4,0.08,"2022-05-12 00:20:03+00:00",2,38,"","",27,1,14
10,3,0.68,"2022-10-17 21:28:18+00:00",4,38,"","",49,2,6
11,2,0.55,"2022-05-10 12:16:55+00:00",1,38,"","",40,2,6
12,2,0.0,"2022-04-08 22:14:38+00:00",4,38,"","",3,1,2
13,2,0.34,"2022-10-02 22:40:57+00:00",2,38,"","",28,3,9
14,4,0.1,"2022-08-04 15:12:00+00:00",2,38,"","",24,1,8
15,4,0.16,"2022-07-12 09:24:23+00:00",4,38,"","",15,3,12
16,2,0.89,"2022-05-22 14:15:14+00:00",2,38,"","",40,2,14
17,2,0.51,"2022-05-27 15:11:16+00:00",3,38,"","",43,1,12
18,2,0.18,"2022-07-03 04:59:48+00:00",3,38,"","",47,3,2
19,2,0.93,"2022-07-12 04:45:40+00:00",4,38,"","",4,2,14
20,1,0.11,"2022-06-08 14:28:31+00:00",4,38,"","",20,1,9
21,2,0.97,"2022-04-16 06:57:50+00:00",4,38,"","",15,3,5
22,2,0.51,"2022-09-02 21:57:44+00:00",2,38,"","",43,3,11
23,1,0.64,"2022-09-12 12:46:09+00:00",3,38,"","",45,1,4
24,3,0.26,"2022-04-23 21:26:24+00:00",4,38,"","",34,2,5
25,4,0.77,"2022-01-12 04:28:36+00:00",3,38,"","",48,1,7
1,3,0.91,"2022-10-07 17:26:10+00:00",1,4,"","",25,3,15
2,4,0.75,"2022-04-30 10:36:18+00:00",3,4,"","",30,2,15
3,1,0.72,"2022-03-05 16:56:02+00:00",3,4,"","",35,2,13
4,1,0.66,"2022-04-26 21:47:17+00:00",3,4,"","",32,3,14
5,4,0.07,"2022-06-16 18:52:49+00:00",1,4,"","",49,3,9
